,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
0,7.63,Kevin De Bruyne Man City,31, M(CLR),25(5),2205,15,8,2.6,2.9,1.0,0.9,0.1,0.7,1.3
1,7.54,Mohamed Salah Liverpool,30, AM(CLR),30(5),2763,23,13,4.0,1.8,1.5,0.7,0.3,2.3,2.8
2,7.52,Trent Alexander-Arnold Liverpool,23, D(R),32,2854,2,12,1.6,2.8,0.6,0.2,0.3,0.6,1.3
3,7.51,Son Heung-Min Tottenham,30, M(CLR),35,3021,23,7,2.5,2.1,1.5,1,0.5,1.3,2.1
4,7.46,Kenedy Chelsea,26, D(L),1,59,-,1,1.0,2.0,1.0,-,-,3.0,2.0
5,7.45,Harry Kane Tottenham,29, AM(C),36(1),3232,17,9,3.6,1.4,1.5,1.5,0.4,1.6,2.6
6,7.44,Luis Díaz Liverpool,25, AM(L),11(2),964,4,3,2.9,1.5,2.4,1.1,0.2,2.0,2.1
7,7.43,Rodri Man City,26, DMC,33,2887,7,2,1.4,0.9,0.4,0.6,-,0.7,0.5
8,7.42,Ben Chilwell Chelsea,25, D(L),6(1),541,3,1,1.9,1.4,0.4,2.1,0.3,0.4,1.9
9,7.42,João Cancelo Man City,28, D(LR),36,3228,1,7,2.3,1.1,1.6,0.7,0.1,0.7,1.3
10,7.38,Kieran Trippier Newcastle,31, D(LR),5(1),430,2,-,0.3,1.2,0.2,0.5,-,0.2,0.2
11,7.37,Christian Eriksen Brentford,30, M(CLR),10(1),938,1,4,2,2.7,0.7,0.3,-,0.8,1.6
12,7.36,Joël Matip Liverpool,31, D(C),31,2790,3,3,1.1,0.4,0.3,0.4,-,0.2,0.4
13,7.3,Sadio Mané Liverpool,30, AM(CLR),32(2),2825,16,2,2.9,1.2,1.4,1.5,0.6,1.7,3.1
14,7.29,Phil Foden Man City,22, AM(CLR),24(4),2133,9,5,2,1.4,1.3,0.8,0.5,1.2,1.7
15,7.28,Ivan Toney Brentford,26, FW,32(1),2908,12,5,2.7,1.3,0.7,2.4,0.8,1.3,3.3
16,7.27,Bernardo Silva Man City,28, M(CLR),33(2),2861,8,4,1.3,1.7,1.5,0.9,0.3,0.7,1.5
17,7.25,Danny Ward Leicester,29, GK,1,90,-,-,-,-,-,-,-,-,-
18,7.24,Rodrigo Bentancur Tottenham,25, M(C),16(1),1367,-,4,0.8,0.9,0.8,0.8,-,0.8,0.7
19,7.24,Reece James Chelsea,22, D(CR),22(4),1868,5,9,1.4,1.8,1.4,1.2,0.2,0.8,1
20,7.24,Ilkay Gündogan Man City,31, M(C),20(7),1856,8,4,2.0,1.4,0.9,0.4,0.1,0.7,0.9
21,7.23,Ferran Torres Man City,22, AM(LR),4,305,2,1,3.3,0.3,1.0,0.3,0.3,0.5,1.0
22,7.23,Andrew Robertson Liverpool,28, D(L),29,2541,3,10,0.6,1.9,0.4,0.3,0.1,0.5,0.8
23,7.2,Raheem Sterling Man City,27, M(CLR),23(7),2127,13,5,1.9,1.4,1.8,1.2,0.3,1.8,2.1
24,7.19,Gabriel Jesus Man City,25, AM(LR),21(7),1880,8,8,2.3,1.4,1.6,0.9,0.4,1.0,2.4
25,7.19,Dejan Kulusevski Tottenham,22, AM(CR),14(4),1267,5,8,1.4,1.4,1.4,0.8,0.2,1.0,2.1
26,7.19,Mason Mount Chelsea,23, M(CLR),27(5),2365,11,10,2.4,1.8,0.6,0.7,0.2,1.1,2.2
27,7.18,Virgil van Dijk Liverpool,31, D(C),34,3060,3,1,1.0,0.3,0.2,0.2,-,0.1,0.1
28,7.17,John McGinn Aston Villa,27, M(C),35,3092,3,4,1.2,1.5,1.3,2.3,-,0.8,1.4
29,7.16,Jack Grealish Man City,26, AM(CL),22(4),1917,3,3,1.7,2.0,1.5,2.1,0.2,1.1,1.2
30,7.16,Zack Steffen Man City,27, GK,1,90,-,-,-,-,-,-,-,-,-
31,7.16,Pierre-Emile Højbjerg Tottenham,27, M(C),36,3199,2,2,0.9,0.7,1.2,1.1,-,0.6,0.9
32,7.14,Jarrod Bowen West Ham,25, AM(CLR),34(2),2993,12,10,2.2,1.1,1.4,1.2,0.4,1.4,1.8
33,7.11,Cristiano Ronaldo Man Utd,37, M(L),27(3),2459,18,3,3.7,0.9,0.7,0.6,1.1,1,1.7
34,7.1,John Stones Man City,28, D(CR),12(2),1118,1,-,0.6,0.3,0.6,0.4,-,0.1,0.3
35,7.1,Declan Rice West Ham,23, D(C),35(1),3178,1,4,0.7,0.7,1.4,0.3,-,0.6,0.7
36,7.1,Thiago Liverpool,31, M(C),17(8),1538,1,4,1,1.2,0.8,0.5,-,0.5,0.6
37,7.1,Marcos Alonso Chelsea,31, D(CL),25(3),2173,4,4,1.5,1.5,0.5,1,0.1,0.9,1.5
38,7.09,Allan Saint-Maximin Newcastle,25, AM(CLR),31(4),2812,5,5,1.8,1.4,4.3,1.4,0.4,2.6,3.4
39,7.09,Conor Gallagher Crystal Palace,22, AM(C),33(1),2851,8,3,1.5,1.1,1.3,1.9,0.1,1.5,1.8
40,7.09,Diogo Jota Liverpool,25, AM(CLR),27(8),2373,15,4,2.6,1.1,0.8,1.1,0.1,0.9,1.8
41,7.08,Thiago Silva Chelsea,37, D(C),28(4),2651,3,-,0.6,0.2,0.2,0.4,-,0.1,0.2
42,7.07,Moisés Caicedo Brighton,20, M(C),8,664,1,1,1.3,0.5,0.9,1.4,0.1,1.3,1.3
43,7.06,Bukayo Saka Arsenal,20, D(L),36(2),2996,11,7,2.6,1.8,1.1,1.6,0.4,1.2,2.2
44,7.06,James Maddison Leicester,25, AM(CLR),28(7),2468,12,8,2.1,1.4,0.9,1.8,0.1,0.9,1.2
45,7.05,Mateo Kovacic Chelsea,28, M(CL),16(9),1557,2,5,0.9,1.1,1.5,0.8,-,0.9,0.7
46,7.05,Oleksandr Zinchenko Man City,25, D(L),10(5),1045,-,4,0.8,1.1,0.5,0.1,0.1,0.4,0.7
47,7.04,Kostas Tsimikas Liverpool,26, D(L),9(4),874,-,2,0.6,1.9,0.6,0.5,-,0.4,0.6
48,7.04,Bruno Guimarães Newcastle,24, DMC,11(6),1034,5,1,1.4,0.7,1.3,2.1,0.2,1.7,1.4
49,7.03,Bruno Fernandes Man Utd,27, M(CLR),35(1),3120,10,6,2.5,2.5,0.7,1.3,0.1,1.1,1.3
50,7.03,Trevoh Chalobah Chelsea,23, D(CR),17(3),1451,3,1,0.5,0.2,0.5,0.7,-,0.4,0.5
51,7.02,Caoimhín Kelleher Liverpool,23, GK,2,180,-,-,-,-,-,0.5,-,-,-
52,7.02,Kepa Arrizabalaga Chelsea,27, GK,4,360,-,-,-,-,-,0.3,-,-,-
53,7.01,James Ward-Prowse Southampton,27, M(CR),36,3217,10,5,1.5,2,0.3,0.4,-,0.7,0.6
54,7.01,Toti Wolves,23, D(C),4,360,-,-,0.3,-,1.3,0.8,0.3,0.5,0.8
55,7.01,N'Golo Kanté Chelsea,31, DMC,21(5),1778,2,4,0.7,0.9,1.3,0.4,-,1.1,1.3
56,7.0,Fabinho Liverpool,28, D(CR),26(3),2316,5,1,0.7,0.6,0.4,1.0,-,0.4,0.8
57,7.0,Christian Nørgaard Brentford,28, D(C),35,3059,3,4,0.8,0.8,0.5,0.9,-,0.7,0.7
58,7.0,Riyad Mahrez Man City,31, AM(CLR),15(13),1493,11,5,2.2,1.4,0.9,0.5,0.1,0.8,1.5
59,7.0,Paul Pogba Man Utd,29, M(CL),16(4),1355,1,9,1.6,1.2,2,1.5,-,1.4,2.1
60,6.99,Yves Bissouma Brighton,25, M(C),25(1),2117,1,2,0.8,0.3,1.3,0.7,-,1,1.2
61,6.99,Matt Targett Newcastle,26, D(L),16,1440,-,-,0.4,1.2,0.6,0.8,0.1,0.3,0.8
62,6.99,Wilfried Zaha Crystal Palace,29, AM(LR),31(2),2761,14,1,2.1,1.4,2.3,3.1,0.7,3.3,3.8
63,6.98,Mason Greenwood Man Utd,20, AM(R),16(2),1281,5,1,2.7,0.9,1.8,0.9,0.2,0.9,1.4
64,6.98,Dan Burn Newcastle,30, D(CL),16,1440,-,1,0.7,0.3,-,0.4,0.3,0.2,0.3
65,6.97,Ethan Pinnock Brentford,29, D(C),32,2698,1,1,0.5,0.3,0.3,0.4,-,0.2,0.4
66,6.97,James Tarkowski Burnley,29, D(C),35,3107,1,2,0.6,0.3,0.1,0.5,0.1,0.1,0.4
67,6.97,Tomás Soucek West Ham,27, DMC,34(1),3062,5,1,1.3,0.6,0.3,0.5,0.1,0.5,1.1
68,6.97,Kristoffer Klaesson Leeds,21, Goalkeeper,0(1),35,-,-,-,-,-,-,-,-,-
69,6.97,Rayan Aït-Nouri Wolves,21, D(L),20(3),1828,1,2,0.6,0.7,1.8,0.9,0.1,1.2,1.9
70,6.97,Jorginho Chelsea,30, DMC,26(3),2279,6,2,0.6,0.9,0.6,1.3,-,0.7,0.8
71,6.96,Raphinha Leeds,25, AM(LR),34(1),2923,11,3,2.5,1.9,1.8,1.3,0.4,1.0,2.8
72,6.96,Matt Doherty Tottenham,30, D(LR),9(6),874,2,4,1.1,1.0,0.4,0.3,-,0.4,1.1
73,6.96,Richarlison Everton,25, AM(CLR),28(2),2528,10,5,2.4,1.0,1.3,2.3,0.7,1.8,3.1
74,6.96,Philippe Coutinho Aston Villa,30, M(CLR),16(3),1339,5,3,2.3,1.3,1.1,1.1,0.2,1.1,1.8
75,6.96,Thomas Partey Arsenal,29, D(R),23(1),2032,2,1,1.8,0.7,1.5,0.7,-,0.7,1.4
76,6.96,Dwight McNeil Burnley,22, AM(CLR),35(3),3114,-,1,1.4,1.2,2.4,0.9,-,1.3,2.1
77,6.95,Sergio Reguilón Tottenham,25, D(L),22(3),1923,2,3,0.8,1.2,0.8,1.0,-,0.5,1.2
78,6.95,Rúben Dias Man City,25, D(C),27(2),2404,2,4,0.6,0.5,0.1,0.3,0.1,0.1,0.3
79,6.94,Marc Cucurella Brighton,24, D(CL),35,3092,1,1,0.5,1.2,0.8,0.9,0.1,0.4,1.1
80,6.94,Jamie Vardy Leicester,35, AM(L),20(5),1806,15,2,2.2,0.7,0.4,0.5,0.8,0.3,1
81,6.94,Adama Traoré Wolves,26, M(CLR),10(10),1065,1,-,1.2,0.9,4.2,1.3,0.5,1.5,2.3
82,6.94,Lucas Digne Aston Villa,29, D(CL),16,1272,-,4,0.6,1.9,0.2,1,0.2,0.8,0.8
83,6.93,Wilfred Ndidi Leicester,25, D(C),18(1),1619,-,-,0.7,0.1,0.6,1.2,0.1,0.8,1.3
84,6.92,Cristian Romero Tottenham,24, D(C),21(1),1846,1,-,0.3,0.3,0.4,0.7,0.1,0.2,0.6
85,6.92,Hakim Ziyech Chelsea,29, M(CLR),14(9),1317,4,3,2.3,1.3,1.2,1.3,0.2,1,2
86,6.92,Jason Steele Brighton,32, GK,1,90,-,-,-,-,-,-,-,-,-
87,6.92,Ben Mee Burnley,32, D(CL),21,1840,3,-,0.9,0.2,0.2,0.3,0.1,-,0.2
88,6.92,Nathan Aké Man City,27, D(CL),10(4),921,2,-,0.4,0.1,-,0.1,-,0.2,0.3
89,6.92,Dominic Calvert-Lewin Everton,25, AM(L),15(2),1286,5,2,1.9,0.6,0.1,0.9,0.2,0.8,2.9
90,6.92,Michail Antonio West Ham,32, D(R),34(2),2981,10,8,2.3,1.3,1.4,1.4,0.4,2,3.8
91,6.91,Aaron Wan-Bissaka Man Utd,24, D(R),20,1794,-,-,0.3,0.7,1.8,0.7,0.1,0.7,1.2
92,6.91,Matty Cash Aston Villa,25, D(R),38,3380,4,3,1,0.7,0.9,1,0.1,0.8,1.5
93,6.91,Ricardo Pereira Leicester,28, D(LR),13(1),994,1,3,0.7,0.7,0.8,1.1,-,0.4,0.9
94,6.91,Martin Ødegaard Arsenal,23, AM(CR),32(4),2793,7,4,1.5,2.1,0.7,0.6,0.1,1.3,1.1
95,6.9,Andreas Christensen Chelsea,26, D(C),17(2),1496,-,-,0.3,0.3,0.2,0.4,-,0.1,0.2
96,6.9,Aymeric Laporte Man City,28, D(CL),33,2836,4,-,1.1,0.3,0.2,0.3,0.1,0.2,0.1
97,6.9,Neco Williams Liverpool,21, D(R),0(1),7,-,1,-,1.0,1.0,-,-,-,-
98,6.9,Ollie Watkins Aston Villa,26, AM(LR),33(2),2955,11,2,2.2,1.0,1.1,1.1,0.5,1.5,2.5
99,6.9,Leandro Trossard Brighton,27, M(CLR),32(2),2812,8,3,2.2,1.4,1.6,0.8,0.4,2.1,2.7
100,6.9,Youri Tielemans Leicester,25, M(C),29(3),2634,6,4,1.8,1.2,0.8,1.1,-,0.9,1.4
101,6.89,Scott McTominay Man Utd,25, D(C),28(2),2393,1,1,0.9,0.8,1.2,1.1,-,1.1,1.5
102,6.89,Alex Telles Man Utd,29, D(L),18(3),1660,-,4,0.5,1.2,0.6,0.4,-,0.5,0.7
103,6.89,Nathan Collins Burnley,21, D(CR),18(1),1670,2,-,0.8,0.3,0.3,0.6,0.2,0.2,0.5
104,6.89,Ibrahima Konaté Liverpool,23, D(C),11,990,-,-,0.4,-,0.2,0.3,-,0.1,0.4
105,6.89,Emmanuel Dennis Watford,24, M(LR),30(3),2591,10,6,1.8,1,2.1,1.2,0.4,1.9,3.2
106,6.88,Shane Duffy Brighton,30, D(C),15(3),1434,1,-,1.2,0.2,0.1,0.3,0.1,-,0.4
107,6.88,Alisson Liverpool,29, GK,36,3240,-,1,-,-,-,0.1,-,-,-
108,6.87,Maximilian Kilman Wolves,25, D(C),30,2689,1,-,0.4,0.1,0.6,0.4,-,0.2,0.7
109,6.87,Ruben Loftus-Cheek Chelsea,26, M(CLR),13(11),1388,-,2,0.8,0.8,1.8,1.7,0.1,1.4,1.1
110,6.87,Wesley Fofana Leicester,21, D(C),7,630,-,-,0.4,0.3,0.4,1.0,-,0.3,0.7
111,6.87,Antonio Rüdiger Chelsea,29, D(CR),34,3035,3,-,1.4,0.4,0.2,0.4,-,0.2,0.6
112,6.87,Emerson Royal Tottenham,23, D(R),26(5),2291,1,1,0.5,0.9,0.5,1.5,0.1,0.6,0.9
113,6.87,Fred Man Utd,29, M(C),24(4),2036,4,4,0.5,1.0,0.8,1.1,-,0.9,1.5
114,6.87,Oriol Romeu Southampton,30, DMC,34(2),2899,2,2,0.7,1.0,0.8,0.7,-,0.4,1.2
115,6.87,Davinson Sánchez Tottenham,26, D(C),17(6),1626,2,-,0.6,0.2,0.2,0.5,-,0.1,0.4
116,6.87,Romain Saïss Wolves,32, D(C),31,2709,2,-,0.6,0.2,0.2,0.5,0.1,0.2,0.3
117,6.87,Jordan Henderson Liverpool,32, D(C),29(6),2604,2,5,0.9,1.1,0.5,0.2,0.1,0.3,0.8
118,6.86,Hassane Kamara Watford,28, D(L),18(1),1625,1,-,0.3,0.5,0.8,0.8,-,0.3,0.8
